nct_id,official_title,brief_title,phase,start_date,completion_date,enrollment,primary_outcomes,secondary_outcomes,registration_date,results_first_posted_date,ctgov_pmid,population_class,population_notes,pmid,linkage_method,linkage_confidence,abstract_text,published_endpoint,first_author,pub_year,journal,linkage_notes,linkage_flag,pair_id,similarity_score,routing
NCT02362646,Safety & Efficacy of Intramyocardial Injection of Mesenchymal Precursor Cells on Myocardial Function in LVAD Recipients,Safety & Efficacy of Intramyocardial Injection of Mesenchymal Precursor Cells on Myocardial Function in LVAD Recipients,PHASE2,2015-07,2019-08-23,159,Number of Temporary Weans From LVAD Support Tolerated | Number of Participants With Adverse Events,Physiologic Assessments | Histopathological Assessments of Myocardial Tissue | Overall Survival | Change in Quality of Life (QoL) | Hopkins Verbal Learning Test | Trailmaking Tests A and B | MCG Complex Figures | Digit Span | Digit Symbol Substitution Test | Controlled Oral Word Association | Length of Stay | Hospitalizations | Hospital Costs | Functional Status,2015-02-09,,30912838,ambiguous,No ejection-fraction criteria found in available text,30912838,direct,High,"IMPORTANCE: Left ventricular assist device (LVAD) therapy improves myocardial function, but few patients recover sufficiently for explant, which has focused attention on stem cells to augment cardiac recovery.
OBJECTIVE: To assess efficacy and adverse effects of intramyocardial injections of mesenchymal precursor cells (MPCs) during LVAD implant.
DESIGN, SETTING, AND PARTICIPANTS: A randomized phase 2 clinical trial involving patients with advanced heart failure, undergoing LVAD implant, at 19 North American centers (July 2015-August 2017). The 1-year follow-up ended August 2018.
INTERVENTIONS: Intramyocardial injections of 150 million allogeneic MPCs or cryoprotective medium as a sham treatment in a 2:1 ratio (n = 106 vs n = 53).
MAIN OUTCOMES AND MEASURES: The primary efficacy end point was the proportion of successful temporary weans (of 3 planned assessments) from LVAD support within 6 months of randomization. This end point was assessed using a Bayesian analysis with a predefined threshold of a posterior probability of 80% to indicate success. The 1-year primary safety end point was the incidence of intervention-related adverse events (myocarditis, myocardial rupture, neoplasm, hypersensitivity reactions, and immune sensitization). Secondary end points included readmissions and adverse events at 6 months and 1-year survival.
RESULTS: Of 159 patients (mean age, 56 years; 11.3% women), 155 (97.5%) completed 1-year of follow-up. The posterior probability that MPCs increased the likelihood of successful weaning was 69%; below the predefined threshold for success. The mean proportion of successful temporary weaning from LVAD support over 6 months was 61% in the MPC group and 58% in the control group (rate ratio [RR], 1.08; 95% CI, 0.83-1.41; P = .55). No patient experienced a primary safety end point. Of 10 prespecified secondary end points reported, 9 did not reach statistical significance. One-year mortality was not significantly different between the MPC group and the control group (14.2% vs 15.1%; hazard ratio [HR], 0.89; 95%, CI, 0.38-2.11; P = .80). The rate of serious adverse events was not significantly different between groups (70.9 vs 78.7 per 100 patient-months; difference, -7.89; 95% CI, -39.95 to 24.17; P = .63) nor was the rate of readmissions (0.68 vs 0.75 per 100 patient-months; difference, -0.07; 95% CI, -0.41 to 0.27; P = .68).
CONCLUSIONS AND RELEVANCE: Among patients with advanced heart failure, intramyocardial injections of mesenchymal precursor cells, compared with injections of a cryoprotective medium as sham treatment, did not improve successful temporary weaning from left ventricular assist device support at 6 months. The findings do not support the use of intramyocardial mesenchymal stem cells to promote cardiac recovery as measured by temporary weaning from device support.
TRIAL REGISTRATION: clinicaltrials.gov Identifier: NCT02362646.","Of 159 patients (mean age, 56 years; 11.3% women), 155 (97.5%) completed 1-year of follow-up. The posterior probability that MPCs increased the likelihood of successful weaning was 69%; below the predefined threshold for success. The mean proportion of successful temporary weaning from LVAD support over 6 months was 61% in the MPC group and 58% in the control group (rate ratio [RR], 1.08; 95% CI, 0.83-1.41; P = .55). No patient experienced a primary safety end point. Of 10 prespecified secondary end points reported, 9 did not reach statistical significance. One-year mortality was not significantly different between the MPC group and the control group (14.2% vs 15.1%; hazard ratio [HR], 0.89; 95%, CI, 0.38-2.11; P = .80). The rate of serious adverse events was not significantly different between groups (70.9 vs 78.7 per 100 patient-months; difference, -7.89; 95% CI, -39.95 to 24.17; P = .63) nor was the rate of readmissions (0.68 vs 0.75 per 100 patient-months; difference, -0.07; 95% CI, -0.41 to 0.27; P = .68).",Yau,2019,JAMA,"CT.gov RESULT reference PMID 30912838 fetched successfully. [Article gate: ACCEPT | type=primary_results | conf=high | tier=heuristic] Publication type(s) confirm results paper: Clinical Trial, Phase III, Multicenter Study, Randomized Controlled Trial. Results section present.",,NCT02362646_30912838,0.6494,llm
NCT01065454,"Randomized, Double Blind, Placebo Controlled, Parallel Group, Multi-center Study to Evaluate the Hemodynamic Effects of Riociguat (BAY 63-2521) as Well as Safety and Kinetics in Patients With Pulmonary Hypertension Associated With Left Ventricular Systolic Dysfunction",A Study to Test the Effects of Riociguat in Patients With Pulmonary Hypertension Associated With Left Ventricular Systolic Dysfunction,PHASE2,2010-04-14,2025-07-23,202,Pulmonary Artery Mean Pressure (PAPmean) at Rest - Change From Baseline to Week 16,Venous Oxygen Saturation (SvO2) - Change From Baseline to Week 16 | Pulmonary Vascular Resistance (PVR) - Change From Baseline to Week 16 | Pulmonary Vascular Resistance Index (PVRi) - Change From Baseline to Week 16 | Systemic Vascular Resistance (SVR) - Change From Baseline to Week 16 | Systemic Vascular Resistance Index (SVRi) - Change From Baseline to Week 16 | Transpulmonary Pressure Gradient (TPG) - Change From Baseline to Week 16 | Pulmonary Capillary Wedge Pressure (PCWP) - Change From Baseline to Week 16 | Tricuspid Annular Plane Systolic Excursion (TAPSE) - Change From Baseline to Week 16 | Systolic Pulmonary Arterial Pressure (PAPsyst) - Change From Baseline to Week 16 | Left Ventricular Ejection Fraction (LVEF) - Change From Baseline to Week 16 | Left Ventricular End-systolic Volume (LVESV) - Change From Baseline to Week 16 | Left Ventricular End-diastolic Volume (LVEDV) - Change From Baseline to Week 16 | E-wave Deceleration Time - Change From Baseline to Week 16 | Ratio of Mitral Peak Velocity of Early Filling to Mitral Peak Velocity of Late Filling (E/A) - Change From Baseline to Week 16 | 6-minute Walking Distance (6MWD) - Change From Baseline to Week 16 | WHO (World Health Organization) Functional Class - Change From Baseline to Week 16 | Percentage of Participants With Clinical Worsening | Borg CR 10 Scale - Change From Baseline to Week 16 | EQ-5D Utility Score - Change From Baseline to Week 16 | Minnesota Living With Heart Failure Questionnaire (MLHF) Score - Change From Baseline to Week 16 | Cystatin C - Change From Baseline to Week 16 | N-terminal Pro-brain Natriuretic Peptide (NT-pro BNP) - Change From Baseline to Week 16 | Troponin T - Change From Baseline to Week 16 | Asymmetric Dimethylarginine (ADMA) - Change From Baseline to Week 16 | Osteopontin - Change From Baseline to Week 16,2010-02-08,,22719060,hfref_confirmed,HFrEF keyword in title/conditions,,manual,Unlinked,,,,,,No PubMed match found (best Jaccard=0.429 below medium threshold 0.5). Manual review required.,FLAGGED_FOR_REVIEW,,,
NCT02695420,"A Double-blind, Randomized, Placebo-controlled, Multicenter Study to Evaluate the Safety, Pharmacokinetics, and Efficacy of Omecamtiv Mecarbil in Japanese Subjects With Heart Failure With Reduced Ejection Fraction","Safety, PK, and Efficacy of Omecamtiv Mecarbil in Japanese Subjects With Heart Failure With Reduced Ejection Fraction",PHASE2,2016-04-14,2017-05-08,81,Pharmacokinetics (PK): Concentration Before Morning Dose (Cpredose) Over Time | PK: Area Under the Curve Until 8 Hours After Morning Dose at Week 8 (AUC0-8),Change From Baseline at Week 16 in Systolic Ejection Time (SET),2016-02-25,,,hfref_confirmed,HFrEF keyword in title/conditions; LVEF ≤ 40% in eligibility criteria,,manual,Unlinked,,,,,,No PubMed match found (best Jaccard=0.460 below medium threshold 0.5). Manual review required.,FLAGGED_FOR_REVIEW,,,
NCT01132846,Renal Optimization Strategies Evaluation in Acute Heart Failure and Reliable Evaluation of Dyspnea in the Heart Failure Network ROSE Study,Renal Optimization Strategies Evaluation in Acute Heart Failure and Reliable Evaluation of Dyspnea in the Heart Failure Network (ROSE) Study,PHASE2,2010-08,2013-06,360,Change in Cystatin C | Change in Dyspnea Assessment (RED-ROSE Substudy) | Decongestive Changes- RED-ROSE | Cumulative Urinary Volume,Change in Weight | Worst Reported Symptom Changes-RED-ROSE | Change in Clinical Stability- RED-ROSE | Change in Serum Creatinine | Dyspnea Visual Analog Scale Area Under the Curve | Change in Heart Failure Status | Change in Treatment Response | Cumulative Urinary Sodium Excretion | Change in Blood Urea Nitrogen (BUN)/ Serum Cystatin C Ratio | Development of Cardio-renal Syndrome | Global Visual Analog Scale Area Under the Curve,2010-05-27,,24247300,ambiguous,No ejection-fraction criteria found in available text,24247300,direct,High,"IMPORTANCE: Small studies suggest that low-dose dopamine or low-dose nesiritide may enhance decongestion and preserve renal function in patients with acute heart failure and renal dysfunction; however, neither strategy has been rigorously tested.
OBJECTIVE: To test the 2 independent hypotheses that, compared with placebo, addition of low-dose dopamine (2 μg/kg/min) or low-dose nesiritide (0.005 μg/kg/min without bolus) to diuretic therapy will enhance decongestion and preserve renal function in patients with acute heart failure and renal dysfunction.
DESIGN, SETTING, AND PARTICIPANTS: Multicenter, double-blind, placebo-controlled clinical trial (Renal Optimization Strategies Evaluation [ROSE]) of 360 hospitalized patients with acute heart failure and renal dysfunction (estimated glomerular filtration rate of 15-60 mL/min/1.73 m2), randomized within 24 hours of admission. Enrollment occurred from September 2010 to March 2013 across 26 sites in North America.
INTERVENTIONS: Participants were randomized in an open, 1:1 allocation ratio to the dopamine or nesiritide strategy. Within each strategy, participants were randomized in a double-blind, 2:1 ratio to active treatment or placebo. The dopamine (n = 122) and nesiritide (n = 119) groups were independently compared with the pooled placebo group (n = 119).
MAIN OUTCOMES AND MEASURES: Coprimary end points included 72-hour cumulative urine volume (decongestion end point) and the change in serum cystatin C from enrollment to 72 hours (renal function end point).
RESULTS: Compared with placebo, low-dose dopamine had no significant effect on 72-hour cumulative urine volume (dopamine, 8524 mL; 95% CI, 7917-9131 vs placebo, 8296 mL; 95% CI, 7762-8830 ; difference, 229 mL; 95% CI, -714 to 1171 mL; P = .59) or on the change in cystatin C level (dopamine, 0.12 mg/L; 95% CI, 0.06-0.18 vs placebo, 0.11 mg/L; 95% CI, 0.06-0.16; difference, 0.01; 95% CI, -0.08 to 0.10; P = .72). Similarly, low-dose nesiritide had no significant effect on 72-hour cumulative urine volume (nesiritide, 8574 mL; 95% CI, 8014-9134 vs placebo, 8296 mL; 95% CI, 7762-8830; difference, 279 mL; 95% CI, -618 to 1176 mL; P = .49) or on the change in cystatin C level (nesiritide, 0.07 mg/L; 95% CI, 0.01-0.13 vs placebo, 0.11 mg/L; 95% CI, 0.06-0.16; difference, -0.04; 95% CI, -0.13 to 0.05; P = .36). Compared with placebo, there was no effect of low-dose dopamine or nesiritide on secondary end points reflective of decongestion, renal function, or clinical outcomes.
CONCLUSION AND RELEVANCE: In participants with acute heart failure and renal dysfunction, neither low-dose dopamine nor low-dose nesiritide enhanced decongestion or improved renal function when added to diuretic therapy.
TRIAL REGISTRATION: clinicaltrials.gov Identifier: NCT01132846.","Compared with placebo, low-dose dopamine had no significant effect on 72-hour cumulative urine volume (dopamine, 8524 mL; 95% CI, 7917-9131 vs placebo, 8296 mL; 95% CI, 7762-8830 ; difference, 229 mL; 95% CI, -714 to 1171 mL; P = .59) or on the change in cystatin C level (dopamine, 0.12 mg/L; 95% CI, 0.06-0.18 vs placebo, 0.11 mg/L; 95% CI, 0.06-0.16; difference, 0.01; 95% CI, -0.08 to 0.10; P = .72). Similarly, low-dose nesiritide had no significant effect on 72-hour cumulative urine volume (nesiritide, 8574 mL; 95% CI, 8014-9134 vs placebo, 8296 mL; 95% CI, 7762-8830; difference, 279 mL; 95% CI, -618 to 1176 mL; P = .49) or on the change in cystatin C level (nesiritide, 0.07 mg/L; 95% CI, 0.01-0.13 vs placebo, 0.11 mg/L; 95% CI, 0.06-0.16; difference, -0.04; 95% CI, -0.13 to 0.05; P = .36). Compared with placebo, there was no effect of low-dose dopamine or nesiritide on secondary end points reflective of decongestion, renal function, or clinical outcomes.",Chen,2013,JAMA,"CT.gov RESULT reference PMID 24247300 fetched successfully. [Article gate: ACCEPT | type=primary_results | conf=high | tier=heuristic] Publication type(s) confirm results paper: Multicenter Study, Randomized Controlled Trial. Results section present.",,NCT01132846_24247300,0.4051,auto_major_switch
NCT03136198,B-lines Lung Ultrasound Guided ED Management of Acute Heart Failure Pilot Trial,B-lines Lung Ultrasound Guided ED Management of Acute Heart Failure Pilot Trial,PHASE2,2017-07-10,2019-06-20,130,Number of Participants With B-lines ≤ 15 at the Conclusion of ED AHF Management,,2017-04-19,,30448355,ambiguous,No ejection-fraction criteria found in available text,30448355,direct,High,"BACKGROUND: Medical treatment for acute heart failure (AHF) has not changed substantially over the last four decades. Emergency department (ED)-based evidence for treatment is limited. Outcomes remain poor, with a 25% mortality or re-admission rate within 30days post discharge. Targeting pulmonary congestion, which can be objectively assessed using lung ultrasound (LUS), may be associated with improved outcomes.
METHODS: BLUSHED-AHF is a multicenter, randomized, pilot trial designed to test whether a strategy of care that utilizes a LUS-driven treatment protocol outperforms usual care for reducing pulmonary congestion in the ED. We will randomize 130 ED patients with AHF across five sites to, a) a structured treatment strategy guided by LUS vs. b) a structured treatment strategy guided by usual care. LUS-guided care will continue until there are ≤15 B-lines on LUS or 6h post enrollment. The primary outcome is the proportion of patients with B-lines ≤ 15 at the conclusion of 6 h of management. Patients will continue to undergo serial LUS exams during hospitalization, to better understand the time course of pulmonary congestion. Follow up will occur through 90days, exploring days-alive-and-out-of-hospital between the two arms. The study is registered on ClinicalTrials.gov (NCT03136198).
CONCLUSION: If successful, this pilot study will inform future, larger trial design on LUS driven therapy aimed at guiding treatment and improving outcomes in patients with AHF.",primary outcome is the proportion of patients with B-lines ≤ 15 at the conclusion of 6 h of management,Russell,2019,Heart Lung,"CT.gov RESULT reference PMID 30448355 fetched successfully. [Article gate: REJECT | type=unknown | conf=medium | tier=heuristic] Heuristic signals strongly favour rejection (reject_score=10, accept_score=6). Signals: pub_type:ACCEPT:Multicenter Study; pub_type:ACCEPT:Randomized Controlled Trial; title:REJECT:'Design and rationale'; mesh:REJECT:Randomized Controlled Trials as Topic; mesh:REJECT:Research Design.",,NCT03136198_30448355,0.6943,llm
NCT03988621,Improving Self-Care of Informal Caregivers of Adults With Heart Failure,Improving Self-care of Heart Failure Caregivers,PHASE2,2019-08-23,2023-10-19,343,"Change in the Health Self-Care Neglect (HSCN) Scale | Change in the Self-Care Inventory, Maintenance Scale",Change in the Perceived Stress Scale (PSS) | Change in the Ways of Coping Questionnaire | Change in Health Status as Measured by the Short Form-36 (Physical and Mental Health Status) | Change in the Caregivers' SF-6D (Short Form Six-dimension) Scores | Difference in Caregivers' Hospital and Provider Events,2019-05-22,,38904103,ambiguous,No ejection-fraction criteria found in available text,38904103,direct,High,"BACKGROUND: Caring for someone with heart failure takes an emotional and physical toll. Engaging in self-care may decrease stress and improve the health of informal caregivers. We conducted a randomized controlled trial testing the efficacy of a virtual health coaching intervention, compared with health information alone, on the self-care, stress, coping, and health status of heart failure caregivers.
METHODS: We enrolled 250 caregivers providing care at least 8 hours/week, reporting poor self-care, and able to use technology. All received a tablet device programmed with websites providing vetted information on heart failure and caregiving. Half were randomized to also receive 10 synchronous support sessions virtually with a health coach over 6 months. Data on self-care, stress, coping, and health status were collected at baseline and 3 and 6 months. Linear mixed-effects models were used to assess the interaction between time and treatment group.
RESULTS: The sample was majority female (85.2%), White (62.2%), spouses (59.8%), and aged 55±13.6 years. Many were employed full time (41.8%). They had been caring for the patient 8 hours/day for a median of 3.25 years. In the intention-to-treat analysis, caregivers who received the health coach intervention had statistically and clinically greater improvement across 6 months compared with the control group in the primary outcome of self-care maintenance (5.05±1.99; P=0.01) and stress (-4.50±1.00; P<0.0001). Self-care neglect declined significantly (-0.65±0.32; P=0.04), but the difference between the treatment arms disappeared when the results were adjusted for multiple comparisons. Mental health status improved statistically but not clinically (3.35±1.61; P=0.04). Active coping improved in both groups but not significantly more in the intervention group (P=0.10). Physical health status was unchanged (P=0.27).
CONCLUSIONS: This virtual health coaching intervention was effective in improving self-care and stress in heart failure caregivers.",primary outcome of self-care maintenance (5,Riegel,2024,Circ Heart Fail,CT.gov RESULT reference PMID 38904103 fetched successfully. [Article gate: ACCEPT | type=primary_results | conf=high | tier=heuristic] Publication type(s) confirm results paper: Randomized Controlled Trial. Results section present.,,NCT03988621_38904103,0.5684,llm
NCT00684021,"Transplantation in Myocardial Infarction Evaluation (TIME) Protocol: A Phase II, Randomized, Controlled, Double-Blind Trial Evaluating the Effect of Timing on the Administration of Bone Marrow Mononuclear Cells (BMMNCs) Versus Placebo in Patients With Acute Myocardial Infarction",Use of Adult Autologous Stem Cells in Treating People Who Have Had a Heart Attack (The TIME Study),PHASE2,2008-07,2012-11,120,Global Left Ventricular Function | Regional Left Ventricular Function (Infarct Zone Wall Motion) | Regional Left Ventricular Function (Border Zone Wall Motion),Clincal and Safety Outcomes | Left Ventricular Mass | End Diastolic Volume Index | End Systolic Volume Index | Infarct Volume,2008-05-22,,23129008,ambiguous,No ejection-fraction criteria found in available text,23129008,direct,High,"CONTEXT: While the delivery of cell therapy after ST-segment elevation myocardial infarction (STEMI) has been evaluated in previous clinical trials, the influence of the timing of cell delivery on the effect on left ventricular function has not been analyzed.
OBJECTIVES: To determine the effect of intracoronary autologous bone marrow mononuclear cell (BMC) delivery after STEMI on recovery of global and regional left ventricular function and whether timing of BMC delivery (3 days vs 7 days after reperfusion) influences this effect.
DESIGN, SETTING, AND PATIENTS: A randomized, 2 × 2 factorial, double-blind, placebo-controlled trial, Timing In Myocardial infarction Evaluation (TIME) enrolled 120 patients with left ventricular dysfunction (left ventricular ejection fraction [LVEF] ≤ 45%) after successful primary percutaneous coronary intervention (PCI) of anterior STEMI between July 17, 2008, and November 15, 2011, as part of the Cardiovascular Cell Therapy Research Network sponsored by the National Heart, Lung, and Blood Institute.
INTERVENTIONS: Intracoronary infusion of 150 × 106 BMCs or placebo (randomized 2:1) within 12 hours of aspiration and cell processing administered at day 3 or day 7 (randomized 1:1) after treatment with PCI.
MAIN OUTCOME MEASURES: The primary end points were change in global (LVEF) and regional (wall motion) left ventricular function in infarct and border zones at 6 months measured by cardiac magnetic resonance imaging and change in left ventricular function as affected by timing of treatment on day 3 vs day 7. The secondary end points included major adverse cardiovascular events as well as changes in left ventricular volumes and infarct size.
RESULTS: The mean (SD) patient age was 56.9 (10.9) years and 87.5% of participants were male. At 6 months, there was no significant increase in LVEF for the BMC group (45.2% [95% CI, 42.8% to 47.6%] to 48.3% [95% CI, 45.3% to 51.3%) vs the placebo group (44.5% [95% CI, 41.0% to 48.0%] to 47.8% [95% CI, 43.4% to 52.2%]) (P = .96). There was no significant treatment effect on regional left ventricular function observed in either infarct or border zones. There were no significant differences in change in global left ventricular function for patients treated at day 3 (−0.9% [95% CI, −6.6% to 4.9%], P = .76) or day 7 (1.1% [95% CI, −4.7% to 6.9%], P = .70). The timing of treatment had no significant effect on regional left ventricular function recovery. Major adverse events were rare among all treatment groups.
CONCLUSION: Among patients with STEMI treated with primary PCI, the administration of intracoronary BMCs at either 3 days or 7 days after the event had no significant effect on recovery of global or regional left ventricular function compared with placebo.
TRIAL REGISTRATION: clinicaltrials.gov Identifier: NCT00684021.","The mean (SD) patient age was 56.9 (10.9) years and 87.5% of participants were male. At 6 months, there was no significant increase in LVEF for the BMC group (45.2% [95% CI, 42.8% to 47.6%] to 48.3% [95% CI, 45.3% to 51.3%) vs the placebo group (44.5% [95% CI, 41.0% to 48.0%] to 47.8% [95% CI, 43.4% to 52.2%]) (P = .96). There was no significant treatment effect on regional left ventricular function observed in either infarct or border zones. There were no significant differences in change in global left ventricular function for patients treated at day 3 (−0.9% [95% CI, −6.6% to 4.9%], P = .76) or day 7 (1.1% [95% CI, −4.7% to 6.9%], P = .70). The timing of treatment had no significant effect on regional left ventricular function recovery. Major adverse events were rare among all treatment groups.",Traverse,2012,JAMA,CT.gov RESULT reference PMID 23129008 fetched successfully. [Article gate: ACCEPT | type=primary_results | conf=high | tier=heuristic] Publication type(s) confirm results paper: Randomized Controlled Trial. Results section present.,,NCT00684021_23129008,0.5359,llm
NCT04112316,Developing Oral LT3 Therapy For Heart Failure With Reduced Ejection Fraction,Developing Oral LT3 Therapy for Heart Failure - HFrEF,"PHASE1, PHASE2",2020-02-11,2023-10-31,28,Cardiac Rhythm Monitoring by 14 Day Patch Rhythm Assessment | T3 Level,Change in Peak Maximal Rate of Oxygen Consumption During Exercise (VO2 Max) | Change in Kansas City Cardiomyopathy Questionnaire (KCCQ) Quality of Life | Activity Measured Via Actigraphy | Change in NT-proBNP Levels,2019-09-30,,,hfref_confirmed,HFrEF keyword in title/conditions,,manual,Unlinked,,,,,,No PubMed candidates retrieved at any linkage stage.,FLAGGED_FOR_REVIEW,,,
NCT03554291,Repurposing a Histamine Antagonist to Benefit Patients With Pulmonary Hypertension,Repurposing a Histamine Antagonist to Benefit Patients With Pulmonary Hypertension,PHASE2,2019-05-01,2023-07-11,80,Change in Six-minute Walk Distance,"Chang in Log-transformed BNP | Proportion of Participants With New York Heart Association (NYHA) Functional Class of I or II at Week 24 | Change in Right Ventricular Morphology by Echocardiogram (RV Dilation and TAPSE) | Change in Health Related Quality of Life (emPHasis-10 Questionnaire) | Percent of Participants by Arm Who Added PAH Focused Care (Increased Diuretics, Escalating Doses of Pulmonary Vasodilators, and/or Adding Additional Pulmonary Vasodilators) Over 24 Weeks.",2018-05-31,,39761829,ambiguous,No ejection-fraction criteria found in available text,39761829,direct,High,"BACKGROUND: Adaptation of the right ventricle is a key determinant of outcomes in pulmonary arterial hypertension (PAH). Despite a compelling rationale to develop targeted therapies for the right ventricle in PAH, no such treatments exist. H2-receptor antagonism is a potential myocardial-focused paradigm in heart failure.
RESEARCH QUESTION: Do H2-receptor antagonists improve outcomes in patients with PAH?
STUDY DESIGN AND METHODS: We conducted a 24-week, single-center, 1:1 randomized, double-masked, placebo-controlled trial of the H2-receptor antagonist famotidine in patients with a diagnosis of PAH. The primary outcome was change in 6-minute walk distance (6MWD) at 24 weeks. Secondary end points included B-type natriuretic peptide levels, New York Heart Association functional class, right ventricular parameters measured from echocardiography, health-related quality of life, and escalation in PAH-focused care.
RESULTS: From May 2019 through July 2023, 80 participants were randomized with 79 receiving study drug. No significant difference in the primary outcome of 6MWD at 24 weeks was found, with an increase of 4.7 m seen in the placebo arm vs a decrease of 17.0 m in the famotidine arm (P = .24). Also no differences were found in secondary end points at 24 weeks. Study drug was well tolerated, and safety profiles were similar between arms. Adherence and study conduct were good overall. Participants with methamphetamine-associated PAH were similar in all aspects to the study participants more broadly.
INTERPRETATION: The results of this trial do not support the routine use of famotidine 20 mg daily as an adjunct therapy for the treatment of PAH. The findings of the Repurposing a Histamine Antagonist to Benefit Patients With Pulmonary Hypertension (REHAB-PH) trial argue against the practice of avoiding participants with methamphetamine-associated PAH in randomized clinical trials of novel therapies.
CLINICAL TRIAL REGISTRY: ClinicalTrials.gov; No.: NCT03554291; URL: www.
CLINICALTRIALS: gov.","primary outcome of 6MWD at 24 weeks was found, with an increase of 4",Leary,2025,Chest,CT.gov RESULT reference PMID 39761829 fetched successfully. [Article gate: ACCEPT | type=primary_results | conf=high | tier=heuristic] Publication type(s) confirm results paper: Randomized Controlled Trial. Results section present.,,NCT03554291_39761829,0.5743,llm
NCT00869024,"AsseSsment of Efficacy, Safety and Utility of intRa myocardiAl iNjection of Stem Cells in Patients With End Stage Heart Failure Undergoing LVAD Implantation (ASSURANCE)",Stem Cell Therapy in Patients With Severe Heart Failure & Undergoing Left Ventricular Assist Device Placement,"PHASE1, PHASE2",2011-11-10,2016-03-29,25,Safety of Cell Delivery | Improvement in Myocardial Viability by PET/CT Scan | Combined End Points of Death,Number of Participants Turned Down Without Meeting LVAD Stopping Rules | Change in Left Ventricular Dimensions | Histological Assessment,2009-03-24,,,ambiguous,No ejection-fraction criteria found in available text,,manual,Unlinked,,,,,,No PubMed match found (best Jaccard=0.188 below medium threshold 0.5). Manual review required.,FLAGGED_FOR_REVIEW,,,
NCT00829296,The Effects of Nebivolol on Aortic Impedance Parameters in Type 2 Diabetics,Safety Study to Lower the Risk of Heart Failure is Also Effective in Reducing Stiffness of the Arteries,"PHASE2, PHASE3",2009-01,2013-04,70,Change in Central Systolic Blood Pressure (SBP),Change in Pulse Wave Velocity (PWV) | Change in Augmentation Index | Change in Pulse Pressure Amplification,2009-01-26,,,ambiguous,No ejection-fraction criteria found in available text,,manual,Unlinked,,,,,,No PubMed candidates retrieved at any linkage stage.,FLAGGED_FOR_REVIEW,,,
NCT01877915,"A Randomized, Double-blind, Event-driven, Multicenter Study Comparing the Efficacy and Safety of Rivaroxaban With Placebo for Reducing the Risk of Death, Myocardial Infarction or Stroke in Subjects With Heart Failure and Significant Coronary Artery Disease Following an Episode of Decompensated Heart Failure","A Study to Assess the Effectiveness and Safety of Rivaroxaban in Reducing the Risk of Death, Myocardial Infarction or Stroke in Participants With Heart Failure and Coronary Artery Disease Following an Episode of Decompensated Heart Failure",PHASE3,2013-09-10,2018-04-19,5081,"Event Rate of All-Cause Mortality, Myocardial Infarction (MI), or Stroke | Event Rate of Either Fatal Bleeding or Bleeding Into a Critical Space With Potential for Permanent Disability",Event Rate of Cardio Vascular Death or Re-Hospitalization for Worsening of Heart Failure (RHHF) | Event Rate of Cardio Vascular Death | Event Rate of Re-Hospitalization for Worsening of Heart Failure | Event Rate of Re-Hospitalization for Cardio Vascular Events (RHCV) | Event Rate of All-Cause Mortality (ACM) or Re-Hospitalization for Worsening Heart Failure | Event Rate of Bleeding Events That Requiring Hospitalization | Event Rate of International Society on Thrombosis and Haemostasis (ISTH) Major Bleeding Event,2013-06-12,,30146935,ambiguous,No ejection-fraction criteria found in available text,30146935,direct,High,"BACKGROUND: Heart failure is associated with activation of thrombin-related pathways, which predicts a poor prognosis. We hypothesized that treatment with rivaroxaban, a factor Xa inhibitor, could reduce thrombin generation and improve outcomes for patients with worsening chronic heart failure and underlying coronary artery disease.
METHODS: In this double-blind, randomized trial, 5022 patients who had chronic heart failure, a left ventricular ejection fraction of 40% or less, coronary artery disease, and elevated plasma concentrations of natriuretic peptides and who did not have atrial fibrillation were randomly assigned to receive rivaroxaban at a dose of 2.5 mg twice daily or placebo in addition to standard care after treatment for an episode of worsening heart failure. The primary efficacy outcome was the composite of death from any cause, myocardial infarction, or stroke. The principal safety outcome was fatal bleeding or bleeding into a critical space with a potential for causing permanent disability.
RESULTS: Over a median follow-up period of 21.1 months, the primary end point occurred in 626 (25.0%) of 2507 patients assigned to rivaroxaban and in 658 (26.2%) of 2515 patients assigned to placebo (hazard ratio, 0.94; 95% confidence interval [CI], 0.84 to 1.05; P=0.27). No significant difference in all-cause mortality was noted between the rivaroxaban group and the placebo group (21.8% and 22.1%, respectively; hazard ratio, 0.98; 95% CI, 0.87 to 1.10). The principal safety outcome occurred in 18 patients who took rivaroxaban and in 23 who took placebo (hazard ratio, 0.80; 95% CI, 0.43 to 1.49; P=0.48).
CONCLUSIONS: Rivaroxaban at a dose of 2.5 mg twice daily was not associated with a significantly lower rate of death, myocardial infarction, or stroke than placebo among patients with worsening chronic heart failure, reduced left ventricular ejection fraction, coronary artery disease, and no atrial fibrillation. (Funded by Janssen Research and Development; COMMANDER HF ClinicalTrials.gov number, NCT01877915 .).",primary end point occurred in 626 (25,Zannad,2018,N Engl J Med,"CT.gov RESULT reference PMID 30146935 fetched successfully. [Article gate: ACCEPT | type=primary_results | conf=high | tier=heuristic] Publication type(s) confirm results paper: Multicenter Study, Randomized Controlled Trial. Results section present.",,NCT01877915_30146935,0.3236,auto_major_switch
